Question,Q.Image
What should you do before making a U-turn?,
What should you do as you approach this bridge?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/2.Q.png
Where should you avoid overtaking?,
What does this curved arrow road marking mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/4.Q.png
What should you do if your mobile phone rings while you're driving or riding?,
Why are these yellow lines painted across the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/6.Q.png
What should you do when you're approaching traffic lights that have been green for some time?,
What should you do before slowing down or stopping your vehicle?,
You're following a large vehicle. Why should you stay a safe distance behind it?,
Why should you use your mirrors when you see a hazard ahead?,
You're waiting to turn right at the end of a road. What should you do if your view is obstructed by parked vehicles?,
There are objects hanging from your interior mirror. Why could this be a hazard?,
You're on a long motorway journey. What should you do if you start to feel sleepy?,
Why should you switch your headlights on when it first starts to get dark?,
What's most likely to distract you while you're driving?,
You're driving your car. When may you use a hand-held mobile phone?,
You're driving on a wet road. What should you do if you have to stop your vehicle in an emergency,
What should you do when you move off from behind a parked car?,
You're travelling along this road. How should you pass the cyclist?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/19.Q.png
When do windscreen pillars cause a serious obstrucion to your view?,
What should you do if you can't see clearly behind when you're reversing?,
What does the term 'blind spot' mean?,
What's likely to happen if you use a hands-free phone while you're driving,
You're turning right onto a dual carriageway. What should you do before emerging?,
You're wwaiting to emerge from a junction. The windscreen pillar is restricting your view. What should you be particularly aware of?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/25.Q.png
How can you make sure that a satellite navigation (satnav) system doesn't distract you when you're driving?,
What must you do when the amber light is flashing at a pelican crossing?,
Why should you never wave people across at pedestrian crossings?,
Why is it dangerous to drive too close to the vehicle ahead?,
What will happen if you follow this vehicle too closely?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/30.Q.png
What's the minimum time gap you should leave when following a vehicle on a wet road?,
"You're being overtaken by a long, heavily laden lorry. What should you do if it's taking a long time for it to overtake?",
Which vehicle will use a blue flashing beacon?,
What should you do if you're being followed by an ambulance showing flashing blue light?,
What type of emergency vehicle is fitted with a green flashing beacon?,
Who should obey diamond-shaped traffic signs?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/36.Q.png
"On a road where trams operate, which vehicles will be most at risk from the tram rails?",
When should you use your vehicle's horn?,
You're in a one-way street and want to turn right. Where should you position your vehicle when there are two lanes?,
You wish to turn right ahead. Why should you take up the correct position in good time?,
Which type of crossing allows cyclists to ride across while pedestrians are also crossing?,
"You're travelling at the legal speed limit. What should you do if the vehicle behind approaches quickly, flashing its headlights?",
When should you flash your headlights at other road users?,
You're approaching an unmarked crossroads. How should you deal with the junction?,
The conditions are good and dry. When should you use the 'two-second rule'?,
Which colour follows the green signal at a puffin crossing?,
You're in a line of traffic. What action should you take if the driver behind is following very closely?,
You're driving on a clear night. Which lights should you use if the national speed limit applies and there's a steady stream of oncoming traffic?,
You're driving behind a large goods vehicle. What should you do if it signals left but steers to the right?,
You're driving along this road. What should you do if the red car cuts in close in front of you?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/50.Q.png
You're waiting in a traffic queue at night. How can you avoid dazzling drivers behind you?,
You're driving in traffic at the speed limit for the road. What should you do if the driver behind is trying to overtake?,
What does it mean if the signs at a bus lane show no times of operation?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/53.Q.png
What should you do when a person herding sheep asks you to stop?,
What should you do when you're overtaking a horse and rider?,
You're approaching a zebra crossing. WHat should you do if pedestrians are waiting to cross?,
What should you do if a vehicle pulls out in front of you at a junction?,
You're approaching a red light at a puffin crossing. Pedestrians are on the crossing. When will the red light change?,
Which instrument-panel warning light would show that headlights are on main beam?,
When should you leave a two-second gap between your vehicle and the one in front?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/60.Q.png
You're driving at night on an unlit road. What should you do if you're following another vehicle?,
What should you do if you're driving a slow-moving vehicle on a narrow winding road?,
You're driving a car that has a diesel engine. What can a loose filler cap on your fuel tank cause?,
What should you do to avoid fuel spillage?,
What style of driving causes increased risk to everyone?,
How would under-inflated tyres affect your vehicle?,
When are you not allowed to sound your vehicle's horn?,
What makes the vehicle in the picture 'environmentally friendly'?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/68.Q.png
Why have 'red routes' been introduced in major cities?,
"What's the purpose of road humps, chicanes and narrowings?",
What's the purpose of a catalytic converter?,
When should tyre pressures be checked?,
When will your vehicle use more fuel?,
How should you dispose of a used vehicle battery?,
What's most likely to increase fuel consumption?,
The fluid level in your battery is low. What fluid should you use to top it up?,
You're parked on the road at night. When must you use parking lights?,
How can you reduce the environmental harm caused by your motor vehicle?,
What can cause excessive or uneven tyre wear?,
You need to top up your battery with distilled water. What level should you fill it to?,
How can you plan your route before starting a long journey?,
Why is it a good idea to plan your journey to avoid busy times?,
How will your journey be affected by travelling outside the busy times of day?,
You plan your route before starting a journey. Why should you also plan an alternative route?,
You have to arrive on time for an appointment. How shoud you plan for the journey?,
What can you expect if you drive using rapid acceleration and heavy braking?,
What could cause you to crash if the level is allowed to get too low?,
What should you do if your anti-lock brakes (ABS) warning light stays on?,
What does it mean if this light comes on while you're driving?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/89.Q.png
Why is it important to wear suitable shoes when you're driving?,
"If you're involved in a collision, what will reduce the risk of neck injury?",
What does it mean if your vehicle keeps bouncing after you sharply press down and release on the bodywork over a wheel?,
How will a roof rack affect your car?,
What makes your tyres illegal?,
What's the legal minimum depth of tread for car tyres?,
You're carrying two 13-year-old children and their parents in your car. Who's responsible for seeing that the children wear seat belts?,
How can drivers help the environment?,
How can you avoid wasting fuel?,
What could you do to reduce the volume of traffic on the roads?,
What's most likely to waste fuel?,
What part of the car does the law require you to keep in good condition?,
"How much more fuel will you use by driving at 70 mph, compared with driving at 50 mph?",
What should you do if your vehicle pulls to one side when you use the brakes?,
What will happen if your car's wheels are unbalanced?,
What can be damaged if you turn the steering wheel when the car isn't moving?,
What's the safest thing to do if you have to leave valuables in your car?,
What may help to deter a thief from stealing your car?,
What should you remove from your car before leaving it unattended?,
What should you do when leaving your vehicle parked and unattended?,
What will reduce fuel consumption?,
Your service your own vehicle. How should you dipose of the old engine oil?,
Why do MOT tests include an exhaust emission test?,
How can you reduce the damage your vehicle causes to the environment?,
How will you benefit from following the manufacturer's service schedule for your vehicle?,
How should you drive when you're driving along a road that has road humps?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/115.Q.png
When should you check the engine oil level?,
You're having difficulty finding a parking space in a busy town. Can you park on the zigzag lines of a zebra crossing?,
What should you do when you leave your car unattended for a few minutes?,
Why should you try and park in a secure car park?,
Where would parking your vehicle cause an obstruction?,
What's the most important reason for having a properly adjusted head restraint?,
What can you do to reduce environmental damage caused by your vehicle?,
What can people who live or work in towns and cities do to help reduce urban pollution levels?,
How can you reduce the chances of your car being broken into when leaving it unattended?,
How can you help to prevent your car radio being stolen?,
How can you reduce the risk of your vehicle being broken into at night?,
What will help you to keep your car secure?,
"On a vehicle, where would you find a catalytic converter?",
What can you achieve if you drive smoothly?,
Which driving technique can help you save fuel?,
How can driving in a fuel-efficient manner help protect the environment?,
What does fuel-efficient driving achieve?,
What's the legal minimum tread depth for tyres on your trailer or caravan?,
When is fuel consumption at its highest?,
When may a passsenger travel in a car without wearing a sear belt?,
You're driving a friend's children home from school. They're both under 14 years old. Who's responsible for making sure they wear a seat belt or approved child restraint where required?,
What's likely to happen if you put too much oil in your engine?,
You have to make an unexpected journey. You're carrying a five-year-old child on the back seat of your car. They're under 1.35 metres (4 feet 5 inches) tall. How should you seat them if a correct child restraint isn't available?,
You're carrying an 11-year-old child on the front seat of your car. They're under 1.35 metres (4 feet 5 inches) tall. What seat belt security must be in place?,
You're stopped at the side of the road. What must you do if you'll be waiting there for some time?,
You want to put a rear-facing baby seat on the front passenger seat. What must you do if the passenger seat is protected by a frontal airbag?,
You're leaving your vehicle parked on a road and unattended. When may you leave the engine running?,
What does it mean if the Electronic Stability Control (ESC) indicator lamp lights up while you're driving?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/143.Q.png
How much can stopping distances increase in icy conditions?,
What requires extra care when you're driving or riding in windy conditions?,
Why should you keep well to the left as you approach a right-hand bend?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/146.Q.png
You've just gone through flood water. What should you do to make sure your brakes are working properly?,
What will be affected if the road surface becomes soft in very hot weather?,
Where is your vehicle most likely to be affected by side winds?,
You're following a vehicle on a wet road. You stay a safe distance behind it. What should you do if a driver overtakes you and pulls into the gap you've left?,
You're travelling on the motorway. How can you lower the risk of a collision when the vehicle behind is following too closely?,
You're following other vehicles in fog. You have your headlights on dipped beam. What else can you do to reduce the chances of being in a collision?,
What should you do when you're using a contraflow system?,
How can you avoid wheelspin when you're driving on an icy road?,
What's the main cause of skidding?,
You're driving in freezing conditions. What should you do as you approach a sharp bend?,
You're about to start a journey in freezing weather. What part of your vehicle should you clear of ice and snow?,
What will help you to move off on a snowy surface?,
What should you do when you're driving in snowy conditions?,
What's the main benefit of driving a four-wheel-drive vehicle?,
You're about to go down a steep hill. What should you do to control the speed of your vehicle?,
What should you do when you park a car facing downhill?,
You're driving in a built-up area that has traffic-calming measures. What should you do when you approach a road hump?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/163.Q.png
On what type of road surface may anti-lock brakes be ineffective?,
You're driving a vehicle that has anti-lock brakes. How should you apply the footbrake when you need to stop in an emergency?,
You're driving along a country road. You see this sign. What should you do after dealing safely with the hazard?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/166.Q.png
What would suggest you're driving on an icy road?,
You're driving along a wet road. How can you tell if your vehicle's tyres are losing their grip on the surface?,
In which conditions will your overall stopping distance increase?,
You're driving on an open road in dry weather. What distance should you keep from the vehicle in front?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/170.Q.png
How can you use your vehicle's engine as a brake?,
How should you use anti-lock brakes when you need to stop in an emergency?,
What lights should you use when you're driving on a wet motorway and vehicles are throwing up surface spray?,
What can result when you travel for long distances in neutral (known as coasting)?,
What should you do before starting a journey in foggy weather?,
What should you do when you're overtaking a motorcyclist on a windy day?,
Where would you expect to see these markers?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/177.Q.png
What's the main hazard shown in this picture?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/178.Q.png
Which road user has caused a hazard?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/179.Q.png
